game_id,season,season_type,week,gameday,away_team,away_score,home_team,home_score,location,result,total,spread_line,total_line,div_game,roof,surface,temp,wind,away_coach,home_coach,stadium_id,stadium,game_type
2025_07_LV_KC,2025,REG,7,2025-10-19,LV,0,KC,31,Home,31,31,13.5,44.5,1,outdoors,grass,57.0,9.0,Pete Carroll,Andy Reid,KAN00,GEHA Field at Arrowhead Stadium,REG
2025_07_MIA_CLE,2025,REG,7,2025-10-19,MIA,6,CLE,31,Home,25,37,2.5,34.5,0,outdoors,grass,65.0,17.0,Mike McDaniel,Kevin Stefanski,CLE00,FirstEnergy Stadium,REG
2025_07_NE_TEN,2025,REG,7,2025-10-19,NE,31,TEN,13,Home,-18,44,-6.5,40.5,0,outdoors,grass,60.0,18.0,Mike Vrabel,Brian Callahan,NAS00,Nissan Stadium,REG
2025_07_NO_CHI,2025,REG,7,2025-10-19,NO,14,CHI,26,Home,12,40,4.5,43.5,0,outdoors,grass,49.0,8.0,Kellen Moore,Ben Johnson,CHI98,Soldier Field,REG
2025_07_NYG_DEN,2025,REG,7,2025-10-19,NYG,32,DEN,33,Home,1,65,7.5,39.5,0,outdoors,grass,72.0,3.0,Brian Daboll,Sean Payton,DEN00,Empower Field at Mile High,REG
2025_07_PHI_MIN,2025,REG,7,2025-10-19,PHI,28,MIN,22,Home,-6,50,-2.5,43.5,0,dome,sportturf,,,Nick Sirianni,Kevin O'Connell,MIN01,U.S. Bank Stadium,REG
2025_07_PIT_CIN,2025,REG,7,2025-10-16,PIT,31,CIN,33,Home,2,64,-5.5,45.5,1,outdoors,fieldturf,60.0,5.0,Mike Tomlin,Zac Taylor,CIN00,Paycor Stadium,REG
2025_07_TB_DET,2025,REG,7,2025-10-20,TB,9,DET,24,Home,15,33,6.0,54.5,0,dome,fieldturf,,,Todd Bowles,Dan Campbell,DET00,Ford Field,REG
2025_07_WAS_DAL,2025,REG,7,2025-10-19,WAS,22,DAL,44,Home,22,66,1.5,54.5,1,closed,matrixturf,,,Dan Quinn,Brian Schottenheimer,DAL00,AT&T Stadium,REG
2025_08_BUF_CAR,2025,REG,8,2025-10-26,BUF,40,CAR,9,Home,-31,49,-7.0,47.5,0,outdoors,grass,63.0,9.0,Sean McDermott,Dave Canales,CAR00,Bank of America Stadium,REG
